date, CHNXTEXVA01NCMLM ,comments
1/1/2013,"1,175,880.00",
2/1/2013,"875,433.00",
3/1/2013,"1,142,638.00",
4/1/2013,"1,167,839.00",
5/1/2013,"1,132,271.00",
6/1/2013,"1,075,178.00",
7/1/2013,"1,147,470.00",
8/1/2013,"1,175,913.00",
9/1/2013,"1,142,962.00",
10/1/2013,"1,138,395.00",
11/1/2013,"1,240,831.00",
12/1/2013,"1,268,805.00",
1/1/2014,"1,263,871.00",
2/1/2014,"697,267.00",
3/1/2014,"1,043,581.00",
4/1/2014,"1,160,004.00",
5/1/2014,"1,204,511.00",
6/1/2014,"1,149,938.00",
7/1/2014,"1,312,999.00",
8/1/2014,"1,284,278.00",
9/1/2014,"1,314,568.00",
10/1/2014,"1,270,998.00",
11/1/2014,"1,300,282.00",
12/1/2014,"1,393,337.00",
1/1/2015,"1,224,717.00",
2/1/2015,"1,036,380.00",
3/1/2015,"887,124.20",
4/1/2015,"1,078,240.00",
5/1/2015,"1,154,352.00",
6/1/2015,"1,159,283.00",
7/1/2015,"1,181,508.00",
8/1/2015,"1,236,908.00",
9/1/2015,"1,305,219.00",
10/1/2015,"1,220,221.00",
11/1/2015,"1,251,148.00",
12/1/2015,"1,439,830.00",
1/1/2016,"1,112,689.00",
2/1/2016,"797,349.70",
3/1/2016,"1,012,354.00",
4/1/2016,"1,076,487.00",
5/1/2016,"1,147,884.00",
6/1/2016,"1,167,952.00",
7/1/2016,"1,205,689.00",
8/1/2016,"1,254,929.00",
9/1/2016,"1,224,062.00",
10/1/2016,"1,194,374.00",
11/1/2016,"1,322,617.00",
12/1/2016,"1,448,796.00",
1/1/2017,"1,250,947.00",
2/1/2017,"818,719.50",
3/1/2017,"1,236,329.00",
4/1/2017,"1,228,010.00",
5/1/2017,"1,305,698.00",
6/1/2017,"1,331,303.00",
7/1/2017,"1,302,359.00",
8/1/2017,"1,324,188.00",
9/1/2017,"1,301,932.00",
10/1/2017,"1,250,580.00",
11/1/2017,"1,440,226.00",
12/1/2017,"1,528,359.00",
1/1/2018,"1,288,959.00",
2/1/2018,"1,080,109.00",
3/1/2018,"1,100,347.00",
4/1/2018,"1,259,600.00",
5/1/2018,"1,356,893.00",
6/1/2018,"1,400,276.00",
7/1/2018,"1,448,374.00",
8/1/2018,"1,480,604.00",
9/1/2018,"1,554,310.00",
10/1/2018,"1,507,150.00",
11/1/2018,"1,578,474.00",
12/1/2018,"1,523,423.00",
1/1/2019,"1,479,759.00",
2/1/2019,"911,530.70",
3/1/2019,"1,330,470.00",
4/1/2019,"1,300,387.00",
5/1/2019,"1,469,673.00",
6/1/2019,"1,466,307.00",
7/1/2019,"1,525,231.00",
8/1/2019,"1,516,846.00",
9/1/2019,"1,552,136.00",
10/1/2019,"1,508,110.00",
11/1/2019,"1,553,416.00",
12/1/2019,"1,672,769.00",
1/1/2020,"1,464,491.00",
2/1/2020,"562,632.90",
3/1/2020,"1,299,370.00",
4/1/2020,"1,416,172.00",
5/1/2020,"1,470,669.00",
6/1/2020,"1,513,346.00",
7/1/2020,"1,665,327.00",
8/1/2020,"1,630,180.00",
9/1/2020,"1,632,518.00",
10/1/2020,"1,589,646.00",
11/1/2020,"1,771,479.00",
12/1/2020,"1,844,986.00",
1/1/2021,"1,707,818.00",
2/1/2021,"1,323,282.00",
3/1/2021,"1,569,642.00",
4/1/2021,"1,720,556.00",
5/1/2021,"1,697,257.00",
6/1/2021,"1,807,962.00",
7/1/2021,"1,830,157.00",
8/1/2021,"1,906,025.00",
9/1/2021,"1,973,900.00",
10/1/2021,"1,924,826.00",
11/1/2021,"2,080,129.00",
12/1/2021,"2,168,012.00",
1/1/2022,"2,080,213.00",
2/1/2022,"1,378,719.00",
3/1/2022,"1,751,727.00",
4/1/2022,"1,760,338.00",
5/1/2022,"2,070,620.00",
6/1/2022,"2,218,175.00",
7/1/2022,"2,242,636.00",
8/1/2022,"2,142,144.00",
9/1/2022,"2,269,041.00",
10/1/2022,"2,155,770.00",
11/1/2022,"2,121,938.00",
12/1/2022,"2,137,326.00",
1/1/2023,"1,986,100.00",
2/1/2023,"1,462,975.00",
3/1/2023,"2,176,569.00",
4/1/2023,"2,035,009.00",
5/1/2023,"1,982,817.00",
6/1/2023,"2,043,608.00",
7/1/2023,"2,024,498.00",
8/1/2023,"2,065,555.00",
9/1/2023,"2,183,418.00",
10/1/2023,"2,009,401.00",
11/1/2023,"2,112,536.00",
12/1/2023,"2,170,742.00",
1/1/2024,"2,206,895.00",
2/1/2024,"1,584,505.00",
3/1/2024,"2,014,381.00",
4/1/2024,"2,117,217.00",
5/1/2024,"2,186,853.00",
6/1/2024,"2,233,708.00",
